mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
0.001	495.413566919909	0.008258473375979755	54495.492361189994	4.495501225895985	508.7573841569312	0.008671039926588568	53298.3926259642	4.6163960887726665	495.4135669199081	0.008258473375979809	54495.492361189885	4.495501225896007	520.184245265904	0.008258473375979793	54495.49236118993	4.495501225896001	0.5447480849459817
0.0031622776601683794	795.3969224522418	0.02606923503016359	27667.925107211457	7.204811878171947	806.2002313672647	0.027369151489253115	26708.303613360073	7.301723860940676	795.3969224522418	0.02606923503016359	27667.925107211457	7.204811878171947	835.1667685964994	0.02606923503016359	27667.925107211457	7.204811878171947	0.2765080689285702
0.010000000000000002	988.1564590862882	0.08198139036636129	10869.721049949174	8.901259146781301	993.70753647157	0.08604580298092376	10410.26942970216	8.947659074033604	988.1564590862864	0.08198139036636155	10869.721049949148	8.90125914678131	1037.564282060561	0.08198139036636155	10869.721049949148	8.90125914678131	0.11481596638691316
0.03162277660168379	1085.9617500042953	0.25488082070768003	3777.5238400195353	9.617498724786822	1089.2068739039748	0.2673013968693293	3608.3924010602036	9.634579274986146	1085.961749979205	0.25488082070768003	3777.5238400195353	9.617498724786822	1140.2598375285293	0.25488082070768003	3777.5238400195353	9.617498724786822	0.0611556224603753
0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.31622776601683794	1331.3890414338014	2.151317478903369	463.12440049910134	9.952219261404188	1341.5867465297188	2.2421378858096257	444.4492169049332	9.95410526446089	1331.3890414338014	2.151317478903369	463.12440049910134	9.952219261404188	1397.9584935229989	2.151317478903369	463.12440049910134	9.952219261404188	0.15638937603479536
1.0	1689.2789141243509	5.376856928864584	185.82068055367859	9.980224108629105	1711.0599277245176	5.574202965273322	179.25389719018756	9.980887286767826	1689.2789141243509	5.376856928864584	185.82068055367859	9.980224108629105	1773.7428598368494	5.376856928864584	185.82068055367859	9.980224108629105	0.2625787314978527
3.1622776601683795	2410.8536435377705	11.926330376657656	83.86167480784535	9.990520928230655	2452.9004443641816	12.308311400552345	81.26121433917082	9.990783548213374	2410.853643537588	11.926330376658555	83.86167480783902	9.990520928230655	2531.3963257145474	11.926330376658182	83.86167480784165	9.990520928230657	0.354380555337136
10.0	3760.3382066962226	24.19007999998599	41.36372027365845	9.994812788160756	3837.354000758371	24.890106144479038	40.20085143651627	9.99493022605208	3760.3382066961603	24.19007999998639	41.36372027365777	9.994812788160756	3948.35511703094	24.190079999986562	41.36372027365747	9.994812788160756	0.4155379508068756
31.62277660168379	6202.26850051934	46.38744781065935	21.574624633714173	9.996811284972214	6340.5710074626995	47.64468584635278	21.005438718639688	9.996868766943955	6202.268500519351	46.38744781065927	21.574624633714212	9.996811284972214	6512.381925514534	46.38744781065927	21.574624633714212	9.996811284972214	0.4520115217590734
99.99999999999999	10569.440904477844	86.08801044864073	11.62638499492563	9.997815955703986	10816.155431639141	88.33083997685232	11.331210452193387	9.997845765322031	10569.440904477844	86.08801044864073	11.62638499492563	9.997815955703986	11097.912949716603	86.08801044864073	11.62638499492563	9.997815955703986	0.4729228974174056
316.2277660168379	18349.60328929317	156.81622986497055	6.38291946101524	9.99834549223972	18788.769097394328	160.8086302995157	6.224460500631172	9.998361494978443	18349.60328929317	156.81622986497055	6.38291946101524	9.99834549223972	19267.083453735115	156.81622986497055	6.38291946101524	9.99834549223972	0.4847564696750755
999.9999999999998	32192.878391364753	282.6638983553473	3.541216623050124	9.998632475241072	32974.08507991484	289.76576857739667	3.454427960752984	9.998641240010723	32192.878391364753	282.6638983553473	3.541216623050124	9.998632475241072	33802.522310935834	282.6638983553473	3.541216623050124	9.998632475241072	0.49142470899265744
