mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
0.0012500000000000002	38437.88533921469	0.12492504683279042	3.078105857964312e6	768.4502767035937	39598.73387939255	0.13117129901056415	3.0200634372016713e6	791.6579619345576	38437.885339214685	0.12492504683279047	3.0781058579643113e6	768.4502767035938	40359.77960617296	0.12492504683279047	3.0781058579643113e6	768.4502767035938	0.6098273066196359
0.003952847075210474	66380.33416472514	0.3950476634525613	1.6809836868114064e6	1327.0756949974384	67460.33164643415	0.41480004498653184	1.626983832478337e6	1348.6670002085814	66380.33416472514	0.3950476634525613	1.6809836868114064e6	1327.0756949974384	69699.35087297266	0.3950476634525613	1.6809836868114064e6	1327.0756949974384	0.33078194536069194
0.0125	86195.02912098654	1.2492501874152437	690249.7932008603	1723.2107984002957	86765.40915743892	1.311712680399442	661730.8538407341	1734.613812938531	86195.02912098654	1.2492501874152437	690249.7932008603	1723.2107984002957	90504.78057706186	1.2492501874152437	690249.7932008603	1723.2107984002957	0.13518136582453996
0.03952847075210474	95179.51823683403	3.95047382540235	241028.03863212402	1902.8276534857562	95398.50959199548	4.147997352807189	230078.6683975789	1907.2056503808162	95179.51823683403	3.95047382540235	241028.03863212402	1902.8276534857562	99938.49414866684	3.95047382540235	241028.03863212402	1902.8276534857562	0.04710337762911554
0.125	98423.89278266845	12.492473783025378	78817.8533403609	1967.6857843501157	98497.84192639931	13.117095833535348	75121.02077586722	1969.1639261192054	98423.89278266845	12.492473783025378	78817.8533403609	1967.6857843501157	103345.08742179441	12.492473783025378	78817.8533403609	1967.6857843501157	0.015393494943486161
0.39528470752104744	99496.86791413212	39.50445734609159	25196.108750739648	1989.125906137249	99520.78833151842	41.47966382734613	24002.063087906263	1989.603333431465	99496.86791413337	39.50445734609109	25196.108750739964	1989.1259061372489	104471.71130984004	39.50445734609108	25196.108750739968	1989.1259061372489	0.004926912668244769
1.25	99842.59054555936	124.9219288565068	7995.394650888394	1996.0034407633393	99850.3183383236	131.16786145030815	7615.250945269481	1996.1554374469133	99842.59054555936	124.9219288565068	7995.394650888394	1996.0034407633393	104834.7200728301	124.9219288565068	7995.394650888394	1996.0034407633393	0.0015863190521392299
3.9528470752104736	99957.27492971897	395.0164870613301	2531.2700011123256	1998.18821671287	99960.07929408501	414.76567328697536	2410.8009690362296	1998.2363850583624	99957.27492971897	395.0164870613301	2531.2700011123256	1998.18821671287	104955.13867620964	395.0164870613301	2531.2700011123256	1998.18821671287	0.0005750182925983524
12.499999999999998	100008.96133535379	1248.938530062546	800.8717623735133	1998.8800992553486	100010.97237474888	1311.3690867548828	762.7503493114183	1998.895341723586	100008.9613353537	1248.9385300625472	800.8717623735125	1998.8800992553486	105009.40940212632	1248.9385300625472	800.8717623735125	1998.8800992553486	0.00041214023604381033
39.52847075210474	100073.8787666709	3947.360615609684	253.42228206514588	1999.0989914905779	100078.06401323252	4144.565309799495	241.36464817375102	1999.1038126156843	100073.8787666709	3947.360615609684	253.42228206514588	1999.0989914905779	105077.57270501753	3947.360615609684	253.42228206514588	1999.0989914905779	0.0008571541943281609
124.99999999999997	100247.62338330543	12461.447462077147	80.27829680535102	1999.1682213927206	100260.12865490871	13082.897803556776	76.4650581208104	1999.1697460783203	100247.6233833068	12461.447462076978	80.27829680535211	1999.1682213927206	105260.00455247787	12461.447462076978	80.27829680535211	1999.1682213927206	0.0025565817090853742
395.2847075210473	100783.43918123917	39197.480975835395	25.52191387648072	1999.1901151883742	100822.34335302206	41141.483618514474	24.315967411437615	1999.1905973740859	100783.43918124045	39197.48097583489	25.521913876481047	1999.1901151883742	105822.61114027436	39197.48097583489	25.521913876481047	1999.1901151883742	0.007910262784059149
1249.9999999999995	102438.8490839418	121950.65750012445	8.203303034642062	1999.1970398628412	102557.83634609157	127899.6390488971	7.821744318661921	1999.1971924253023	102438.84908394174	121950.65750012451	8.203303034642058	1999.1970398628412	107560.79153813704	121950.65750012451	8.203303034642058	1999.1970398628412	0.02379312014747644
