mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0.4217	2.3714	0.0133	0.23333333333333334	1.2689610031679222	22.122162910704493	0.04102905434978148	5.298316906283709	0.0	0.0	0.0	36.91774103834642	0.0	0.0	0.9999059343229824	0.9998122258208071	0.9995485868270623	0.9982751952409664	0.9674902378586262	0.8902217016915214	0.8318445854835392	0.7539868791547583	0.6554779161408268	0.5416734290954491	0.4234978688825349	0.31371136870386224	0.2218849809723424	0.15178553247235077	0.10226232503187907	0.06976154517398772	0.05047304190743485	0.04146405249832682	0.04102905434978148	0.04860841663720819	0.06444465795449687	0.08898550931154672	0.1220767496837661	0.16225023246308887	0.20662538385799542	0.25163636823098334	0.2941077011172205	0.331963795323626	0.3643152506588354	0.3911523243763732
0.075	0.0133	0.075	0.1	1.2689610031679222	3.2903445623126686	0.07898925685285793	2.043359717856942	0.0	0.0	0.0	8.67894577572129	0.0	0.0	0.9999317232705937	0.9998862528435831	0.9998063296035978	0.9996578790290913	0.999355400553787	0.9986305645356519	0.9962543353082518	0.9795533740158748	0.7123613387316539	0.5489628547051679	0.42730605489201495	0.31759256624157306	0.22716215951829663	0.15970769376167498	0.11447821842830154	0.08857570456946881	0.07898925685285793	0.08348402171492356	0.10046303776309493	0.1282252101900839	0.1642072521737165	0.20484225939631437	0.24623377603098814	0.2851351543844148	0.3195441631030502	0.3487028445009127	0.37274627574858993	0.39229957964714324	0.4081714491645676	0.4211656223920497
74.9894	13.3352	74.9894	0.5333333333333333	0.7880462815669912	1000.0	0.003266087305700686	57.36152510448679	0.0	0.0	0.0	5927.781234494514	0.0	0.0	0.9884888071671021	0.9815931820382798	0.9706894426799599	0.9536318327723866	0.9273900730502038	0.8880408484309672	0.8312480595515908	0.7536394061761329	0.6551471022458837	0.5412486430081215	0.42287134958376027	0.3127358248631972	0.22033575092399751	0.14930925269680712	0.09829986412172784	0.06343149525133351	0.04040024070077013	0.0255409170628796	0.016116145642916323	0.01023121334402815	0.006638813492666208	0.004552723756543766	0.0035073615208367176	0.003266087305700686	0.0037714194224180227	0.00513025139114524	0.007629419215457185	0.011777396763852642	0.018362189447623984	0.028497388553131536
2.3714	0.4217	0.0024	0.36666666666666664	0.7880462815669912	92.36708571873861	0.018029398517436568	8.531678524172808	0.0	0.0	0.0	191.41568824774188	0.0	0.0	0.9985596761074933	0.9825228945285491	0.9708326617841931	0.9536853148612405	0.9274194600529881	0.8880632079291214	0.8312713057030174	0.7536697725033719	0.6551919024158014	0.5413183386395847	0.42298208721620006	0.3129132014014743	0.2206207206080422	0.14976753163036768	0.09903694257692351	0.0646165493604168	0.0423040061562022	0.02859509049959239	0.02100504044156595	0.018029398517436568	0.01900853860042841	0.02400512900339322	0.03369819802040984	0.049222474895346785	0.07183265558722661	0.10230857779272777	0.14023391671294558	0.18359999824898107	0.22918554085122797	0.273582950591936
0.0024	421.6965	2.3714	0.16666666666666666	3.2903445623126686	22.122162910704493	0.06955759456105974	5.298316906283709	0.0	0.0	0.0	3.089058256906822	0.0	0.0	0.999998977384463	0.9999983500353546	0.9999973345799607	0.9999956857150765	0.9999929947112339	0.9999885669858829	0.999981186089784	0.9999686236526926	0.9999465230782654	0.9999055524377429	0.9998230489330941	0.9996335169930511	0.9990926436560856	0.9968076555634177	0.9733613825997856	0.35883894524768256	0.11255367778570659	0.07810207210597525	0.06955759456105974	0.07182449768914716	0.08165065009971009	0.098213333694411	0.12134518993572592	0.15075186415853226	0.18548721648263494	0.22374313440150978	0.2630977245941467	0.30111076951859705	0.3358995833508684	0.3663980794111514
0.0037	0.6494	0.6494	0.06666666666666667	3.2903445623126686	5.298316906283709	0.09987762727637901	3.2903445623126686	0.0	0.0	0.0	3.1594655706028365	0.0	0.0	0.9999946186854705	0.9999913090280284	0.9999859384732555	0.9999771828812147	0.9999628012154316	0.999938892943056	0.9998983782262298	0.9998275975289909	0.9996978300124574	0.9994411097384462	0.9988682341862031	0.9973144123784016	0.9914075453667894	0.9481905115017158	0.48567130292185523	0.17209969717013401	0.11490718495783721	0.09987762727637901	0.09989790423399336	0.10839260779359021	0.12291466838617225	0.1422821958482365	0.16571128679790606	0.19244951918416436	0.22161507364958155	0.25216638590491386	0.2829687094470984	0.31291807555977863	0.34107229463629135	0.36674401138586216
3.6517	649.3816	649.3816	0.4	0.7880462815669912	148.73521072935117	0.014599418749406786	13.73823795883263	0.0	0.0	0.0	293.65062190122774	0.0	0.0	0.9890655942574992	0.9816810726153979	0.9707219265214923	0.9536488258415606	0.9274017972060519	0.8880517037464299	0.8312610855708382	0.7536577942804293	0.6551751647892677	0.5412928813010951	0.4229419730949363	0.3128490994398714	0.22051772033544023	0.14960168704615032	0.09876980113038195	0.0641865452323253	0.041613026947215456	0.027487766222499294	0.019237610033923654	0.015225132635377954	0.014599418749406786	0.017168640098006536	0.023319817406506058	0.033952007472309136	0.0503372133767345	0.07378651537605603	0.10504972134083257	0.14361002091603864	0.18734668091330034	0.23298910762910288
115.4782	0.0205	0.0205	0.5333333333333333	0.7880462815669912	1000.0	0.002647657201269539	57.36152510448679	0.0	0.0	0.0	9111.226098779813	0.0	0.0	0.988488729799613	0.9815931247520021	0.9706893903347702	0.9536317725651968	0.9273899907951102	0.8880407250051288	0.8312478663716141	0.7536390985494454	0.6551466090204039	0.5412478501117779	0.4228700736426957	0.31273377079718956	0.22033244371866673	0.14930392758951042	0.09829128984967646	0.06341768960152051	0.040378012881937216	0.025505131854441105	0.016058541183765904	0.010138504414211056	0.006489655133460749	0.0043128674425851245	0.0031219709876349447	0.002647657201269539	0.0027810561772462013	0.003549371555806615	0.005118741391969606	0.00782195252228922	0.012208290845987868	0.019105748962816416
0.1155	20.5353	20.5353	0.16666666666666666	1.2689610031679222	8.531678524172808	0.06187909632697768	3.2903445623126686	0.0	0.0	0.0	12.127348646951514	0.0	0.0	0.9999938014683751	0.9999890171836273	0.9999793107876728	0.9999567372812638	0.9998909005719181	0.9995994172060984	0.996032537865828	0.791206623813238	0.6594843193230217	0.5435089087344857	0.42512920476503774	0.3157448886941165	0.22477725385467565	0.1560655540894213	0.10863747544030357	0.07922597491528835	0.0644402024212923	0.06187909632697768	0.07032611358562067	0.08930500002219297	0.11823707592058212	0.15556744645376447	0.19841391265313818	0.2430797408466929	0.28609027553923105	0.32501165794828674	0.3586554077886512	0.38681921050853124	0.4098920965413114	0.42852893092608224
0.6494	0.0037	115.4782	0.26666666666666666	1.2689610031679222	35.62247890262442	0.03230928677244182	5.298316906283709	0.0	0.0	0.0	55.34244770949215	0.0	0.0	0.9999866906356271	0.9999590053847898	0.999756438534713	0.984909717839896	0.928708085990151	0.8883905932792849	0.8314342043981758	0.7537970225880583	0.6553333700257694	0.5415122915418046	0.42327443177810403	0.31337021404248605	0.22134399276225203	0.15091567841677486	0.10085926836504618	0.06750590448701356	0.04687755109522739	0.03581013970273042	0.03230928677244182	0.03552282550690645	0.04554340628996151	0.06306356688483851	0.08881073079746846	0.1227783167221975	0.16356070630189715	0.20830991935046475	0.253504759588766	0.2960347708389067	0.33389335537820153	0.36624705660923623
