mU	mW	eP	robustness	minRange	maxRange	min_CoRa	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	not_same	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0.4217	2.3714	0.0133	0.5333333333333333	0.001	1.2689610031679222	0.0022645111361586363	0.02807216203941177	0.0	0.0	0.0	0.0	0.0	0.0	5.649489747645238	0.028823438746540028	0.01813936271487122	0.01141051377309166	0.007226281676427386	0.00467658521461841	0.003194488220990752	0.0024465298295958493	0.0022645111361586363	0.002611191972699449	0.0035762498864396522	0.005405611702069785	0.008577677364304679	0.01395623206742166	0.0230699809404536	0.038561181176971444	0.06467052693537152	0.106954790451289	0.16942481808236365	0.2489946217829105	0.33388517794741673	0.41110590433726657	0.473969506829137	0.5220717603133745	0.5578711838700104	0.5842906483715832	0.6038105923009157	0.6183118520929963	0.6291619402154512	0.6373421303204496	0.6435561092602168
0.075	0.0133	0.075	0.3333333333333333	0.0016102620275609393	0.11721022975334802	0.014356368633328825	0.017433288221999882	0.0	0.0	0.0	0.0	0.0	0.0	0.1745904829513104	0.1430573987145427	0.09415521905896368	0.0610063812237295	0.03940287124148374	0.025884061745855204	0.018011451921090372	0.014356368633328825	0.014506776383568102	0.019319829596627473	0.03162073570245947	0.05726620441049947	0.10495083334864683	0.1803860118433978	0.2756190319843309	0.37062695779706684	0.44992478593532487	0.5097460034948244	0.552941448295322	0.5837274352782706	0.6056966532418692	0.6214741479752183	0.6328927644247511	0.641219034827264	0.6473314775032935	0.6518447707147357	0.6551931223691283	0.6576859659003692	0.6595454510836597	0.6609319857830629	0.6619618594845719
74.9894	13.3352	74.9894	0.6333333333333333	0.001	5.298316906283709	1.450751554431618e-5	0.017433288221999882	0.0	0.0	0.0	0.0	0.0	0.0	0.17838818995629963	0.00016685336695809844	0.00010386300712907537	6.48914560276711e-5	4.0939055345672085e-5	2.6490617318936195e-5	1.8263772591733435e-5	1.450751554431618e-5	1.4744656129369937e-5	2.0041409737010715e-5	3.4234866863657893e-5	6.735603443432876e-5	0.00014451129083241615	0.00032865377833702454	0.000778804151180667	0.001897883030588274	0.004700213126132262	0.011672923309304209	0.028485945788671918	0.06586240755491447	0.13615698982668728	0.23756831514128937	0.34586201905492425	0.4371357813671172	0.504548405272378	0.5517093189667006	0.5842060742765905	0.6065857597838482	0.6220284009404081	0.6326672820517389	0.6399261955681855
2.3714	0.4217	0.0024	0.2	0.001	0.010826367338740546	0.012663929285376024	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.18319907647764508	0.012663929285376024	0.015132936249008244	0.020937601737376133	0.03118270883391223	0.04763393834364735	0.07263219637612534	0.10861573681108583	0.15697496608706182	0.2164660433641629	0.2824646891194311	0.3484074938616006	0.40859216004934334	0.45994606575055685	0.5018955165294409	0.5353280977378166	0.5616646608262913	0.5823386560818308	0.5985876786701988	0.6114080930028293	0.621575862534574	0.6296863384292615	0.6361939064188236	0.6414453856232996	0.645706290304068	0.6491808343002508	0.6520269496786472	0.6543674985765247	0.6562986356134665	0.6578960557760891	0.6592196772661358
0.0024	421.6965	2.3714	0.7	0.0727895384398315	1000.0	1.2982815399377229e-5	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	174158.09858962861	0.838865926026649	0.7637648231056955	0.6675343428708734	0.5549471115899866	0.43642258164138903	0.3247409788782839	0.22997602389024602	0.15645709809280595	0.10328783765174793	0.06675709358128137	0.04253356845579152	0.026846906209312536	0.016843795095030104	0.010527499797050635	0.006563953016537247	0.004086499669625344	0.0025417323358623736	0.001579996616134507	0.0009818176748631726	0.000609992686990027	0.0003789682714142214	0.00023548400694812545	0.00014642089296695935	9.120597396383592e-5	5.7079141313759604e-5	3.615170930213461e-5	2.3585970832898382e-5	1.6478654165571488e-5	1.3192313832017618e-5	1.2982815399377229e-5
0.0037	0.6494	0.6494	0.6666666666666666	0.04520353656360243	385.6620421163472	0.0006582408482976911	8.531678524172808	0.0	0.0	0.0	0.0	0.0	0.0	174.3799396457702	0.77152874916409	0.6771238556433371	0.5656710896845137	0.4471574335659512	0.3343586695194682	0.23777559884774477	0.16228911100187912	0.1073907296149213	0.06952213399216005	0.04434417435804402	0.028011260547395413	0.01758536090304071	0.010999295672851631	0.006867776888398091	0.004289795898475235	0.002690546777181286	0.001708703755618813	0.001121035144856518	0.0007944945297114631	0.0006582408482976911	0.0006918062452016387	0.0009310562995002012	0.0015034640023563375	0.002725715409451816	0.005344968469368657	0.011101822896255128	0.023903775396752883	0.05156569574120676	0.10557611866882023	0.19195561559705157
3.6517	649.3816	649.3816	1.0	0.001	1000.0	6.601179424253905e-7	8.531678524172808	0.0	0.0	0.0	0.0	0.0	0.0	177.777112443123	0.003410433860172259	0.002120678744503852	0.0013180369900437463	0.0008189325206063476	0.0005087290047798003	0.0003159904493899836	0.00019625922604902244	0.0001218898486846274	7.569992613218827e-5	4.7013522029533864e-5	2.919870621518218e-5	1.8136303266058174e-5	1.1268208675778652e-5	7.006141160914266e-6	4.364467653073523e-6	2.7323385775131022e-6	1.7325227220554698e-6	1.1344021455739552e-6	8.012401525848046e-7	6.601179424253905e-7	6.89112963598727e-7	9.227037217789364e-7	1.4868834455473934e-6	2.698612024622697e-6	5.321308455334584e-6	1.1213572454835336e-5	2.4982748721721133e-5	5.8220750406439456e-5	0.00014038895879487113	0.00034680929765088826
115.4782	0.0205	0.0205	0.0	NaN	NaN	0.4937066495028302	0.001	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.4937066495028302	0.5382764132145265	0.5709182377644184	0.5947364249975264	0.612185462427239	0.6250549474948079	0.6346192531502961	0.6417815284736351	0.6471842414031822	0.6512875974863318	0.6544237874895981	0.656834373503717	0.6586961893434675	0.6601394382991856	0.6612604559535563	0.6621307883293636	0.6628036970177267	0.663318848409808	0.6637057088566172	0.6639860094660549	0.6641755365258802	0.6642854291777971	0.664323113997218	0.6642929694523858	0.6641967870960225	0.6640340776372164	0.6638022565984689	0.6634967346243704	0.6631109306529912	0.6626362214822756
0.1155	20.5353	20.5353	1.0	0.001	1000.0	2.0873617417409454e-5	8.531678524172808	0.0	0.0	0.0	0.0	0.0	0.0	176.22962057487075	0.09762992813479221	0.0629597471556021	0.040054980461720346	0.025258320120528786	0.01583748099559009	0.009894750877499373	0.006167951190085514	0.0038393937122961816	0.002387827869068822	0.001484264033281567	0.0009223349705643458	0.0005730874971574964	0.00035613815823220353	0.0002214621535816504	0.00013797099387378214	8.638025018248937e-5	5.477422369370336e-5	3.586589662637646e-5	2.533389273795194e-5	2.0873617417409454e-5	2.179255873069481e-5	2.918146055443264e-5	4.7024324716397165e-5	8.534033022332516e-5	0.00016824629032211483	0.00035437748670993826	0.0007886451408988861	0.0018330403014600396	0.004391766932037194	0.010679617873205208
0.6494	0.0037	115.4782	0.4	0.001	0.18873918221350972	0.0010849781943917706	0.017433288221999882	0.0	0.0	0.0	0.0	0.0	0.0	0.005703424530378773	0.018444024984284508	0.011224445561908873	0.006646092577289	0.003795610397852607	0.0021117952984757798	0.0012582079084970514	0.0010849781943917706	0.001717624675408622	0.0038456521846259016	0.009422047595590784	0.023143167627505356	0.05450013249485388	0.11642175757600863	0.21207720598353472	0.3213206241632771	0.41767891740354873	0.4904030167083087	0.5416518161759454	0.5769841761809749	0.6012624700229073	0.6179571907968282	0.6294070775935349	0.6371712402367358	0.6422937833677755	0.6454791096113942	0.6472046745282097	0.6477935207825908	0.647461774119254	0.646350373232955	0.6445468347213698
