Iteration	mA	mB	mU	e0	eP	bA	bI	kD	robustness	min_CoRA	SS	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0.0	0.089	0.0118	0.0023	0.0026	0.0018	3.7742	18.1804	0.5673	0.03333333333333333	0.05680103632607121	7.590117788330194	0.9999997758911116	0.9999996391166098	0.9999994188589149	0.9999990641434379	0.9999984928584058	0.9999975726731795	0.9999960902421949	0.9999937013453182	0.9999898499368889	0.999983636059453	0.999973598621847	0.9999573537467961	0.9999309811031662	0.9998879522553158	0.9998171786933177	0.9996992385878364	0.9994984722716107	0.9991445904110745	0.9984836613405903	0.9971215545282288	0.9937738722913654	0.9820926597080002	0.8850190909057233	0.15367978242276611	0.05680103632607121	0.2638586581947275	0.9523864140637035	0.9901267880279999	0.9962132383255088	0.9981791428840786
1.0	0.09476	0.01949	0.002668	0.001323	0.002341	2.116	13.72	0.5483	0.03333333333333333	0.06050797728495159	4.865202628877211	0.9999994642161718	0.9999991372103302	0.9999986105791872	0.9999977624108255	0.9999963962270595	0.9999941952483706	0.9999906483330208	0.9999849296974904	0.999975702563993	0.9999607960067912	0.9999366663029693	0.9998974812945239	0.9998335171659666	0.9997282271905832	0.999552546340302	0.9992528808417046	0.9987229328687858	0.9977278601913984	0.9956589812457106	0.9904987108003658	0.9720528649606657	0.8227579526539511	0.15645326123417894	0.06050797728495159	0.18641705782128107	0.922909666686912	0.9861195103058434	0.9949482478042992	0.9976476550661326	0.9987888652895379
2.0	0.07538	0.03009	0.00291	0.001429	0.002628	2.532	12.15	0.4646	0.03333333333333333	0.05948556241644936	2.549728039767082	0.9999992538128188	0.9999987983453168	0.9999980647774538	0.9999968831525919	0.9999949794195147	0.9999919112961838	0.9999869640266161	0.9999789799922993	0.999966077732152	0.9999451821421191	0.9999112220974067	0.9998557156629275	0.9997641572254046	0.9996108699851441	0.999347950099553	0.9988787056187121	0.997983869660248	0.9960720312536275	0.9910485341118692	0.9708141710603756	0.7439293701411113	0.11094539643386579	0.05948556241644936	0.2063126034194029	0.9178768742442935	0.9845619594677377	0.9943121387485799	0.9973230436215812	0.998599056605424	0.9992364599241621
3.0	0.07848	0.03917	0.003043	0.001294	0.002378	2.932	7.177	0.4483	0.06666666666666667	0.0708591901016677	2.0574557552936055	0.9999992353026894	0.9999987685164938	0.9999980166763008	0.9999968055184318	0.9999948539444466	0.999991708044418	0.9999866336092997	0.9999784397928431	0.999965186641634	0.9999436917106564	0.9999086759822012	0.9998512278462737	0.999755886049241	0.9995946718504664	0.9993136242792494	0.998798329487962	0.9977696980220024	0.9953855191748496	0.9880277399140983	0.9438560764068176	0.3084836931412307	0.0708591901016677	0.09199851625550326	0.5451755167588328	0.9417292329869754	0.9835527699354576	0.9930693466256837	0.9965361526132901	0.9981279366174214	0.9989588300097617
4.0	0.05763	0.03257	0.00381	0.001348	0.00166	2.49	8.835	0.3436	0.06666666666666667	0.06599696207527334	1.8356681204426835	0.999999206876743	0.9999987227343726	0.9999979429322544	0.9999966867119975	0.9999946624812753	0.999991399339614	0.9999861354771923	0.9999776349733588	0.9999638836434764	0.999941575165412	0.9999052194886623	0.999845533968192	0.9997463734842672	0.9995784094785051	0.9992847468482416	0.9987436849278941	0.9976543525245899	0.9950890601087747	0.9869035187269161	0.9331965793593554	0.2668398139422037	0.07495335233171625	0.06599696207527334	0.2569880401123812	0.9047130015616778	0.980169893308357	0.9925014138393385	0.9964140526603822	0.9980847820626926	0.9989193966420257
5.0	0.03555	0.04229	0.00438	0.001	0.001984	2.118	6.857	0.284	0.06666666666666667	0.08671148442755154	0.915404340720154	0.999998424374892	0.9999974623298428	0.999995912386949	0.9999934145012076	0.9999893868725834	0.9999828873626984	0.9999723851035867	0.999955378989994	0.9999277470391197	0.9998826015957999	0.9998081814742705	0.999683716257079	0.9994705901743225	0.9990912529059428	0.9983711169619934	0.9968441962179652	0.992886439298223	0.9773753193370688	0.8059890304341358	0.16871051599481218	0.0886866668889098	0.08671148442755154	0.315773503066109	0.8998482551645363	0.9770717806210505	0.9910950498200418	0.9956926520308027	0.9976839171267525	0.9986852206589132	0.9992347726130327
6.0	0.02807	0.05248	0.005088	0.00131	0.001398	1.608	7.922	0.2269	0.03333333333333333	0.08698167109470838	0.6047268231343158	0.9999973097076262	0.9999956667085409	0.9999930191109913	0.9999887507533298	0.9999818645092526	0.9999707418674665	0.9999527429816684	0.9999235288613131	0.9998758799129721	0.9997975497450309	0.9996671319652409	0.9994454447705625	0.9990556158003715	0.998330471138904	0.996846578832853	0.9932492484090085	0.9811029099395455	0.8927590366729673	0.28431542986366304	0.1251323132670469	0.08698167109470838	0.11310968346266942	0.6197423680082033	0.9530898310896508	0.9862618433506019	0.9941002935069032	0.9970059604588192	0.9983472363984932	0.9990460196990304	0.9994372269321554
7.0	0.01505	0.05335	0.003449	0.001002	0.001211	2.622	7.27	0.2043	0.0	0.13385943205749268	NaN	0.9999972386211885	0.9999955519060321	0.9999928333800923	0.999988449421092	0.9999813734158672	0.9999699357855679	0.9999514050155943	0.9999212694581568	0.9998719640666053	0.999790500563287	0.999653748767946	0.9994181581994384	0.9989946080175206	0.998176810475851	0.9963905407150486	0.991491649756084	0.9697043176854662	0.6863126636798553	0.20831723721365455	0.13385943205749268	0.14970936844426794	0.6517756204698892	0.953434954295779	0.985968894914161	0.9939112332274725	0.9968937063733175	0.998278703990263	0.9990018439160872	0.9994063147795337	0.9996423231499145
8.0	0.01854	0.05735	0.00328	0.001091	0.001527	3.449	9.23	0.1706	0.0	0.10676852757351225	NaN	0.999998450425283	0.9999975041659821	0.9999959794638908	0.9999935217590857	0.9999895576273592	0.9999831572252733	0.9999728063557822	0.9999560225002544	0.9999286915578589	0.999883878670303	0.9998095794222227	0.9996841446266107	0.9994660291708845	0.9990677717585975	0.9982781708251507	0.9964692025499142	0.9910071439616783	0.9597930300951517	0.4336741981248808	0.14599042563527248	0.10676852757351225	0.22019677403206586	0.8846921030143049	0.9788350097541061	0.992331351687063	0.9963959522251876	0.9980863917093523	0.9989164612562036	0.9993642935411969	0.9996199454271341
9.0	0.02249	0.06625	0.00496	0.0011	0.001694	3.891	6.708	0.2873	0.03333333333333333	0.09552404667556111	0.4045395181603279	0.9999978348653156	0.999996511650381	0.9999943778710197	0.9999909339847662	0.999985367760595	0.9999763508011161	0.9999616901740842	0.9999377119221681	0.999898116540138	0.9998317076907299	0.9997174654425818	0.9995125506890117	0.9991183495602658	0.9982622686598714	0.9959337111225275	0.985582681822708	0.7776958346831624	0.1811335442014088	0.1143200667906966	0.09552404667556111	0.20305628970365688	0.8267721336206959	0.968107682819614	0.988694595980755	0.9947483367819883	0.9972290105655869	0.9984362467127496	0.9990838613161871	0.9994520645935672	0.9996691518890768
