mU	mW	eP	robustness	minRange	maxRange	min_CoRa	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	not_same	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
1.0	1.0	1.0	0.16666666666666666	1.2689610031679222	8.531678524172808	0.0008138965502730452	5.298316906283709	0.0	0.0	0.0	0.0	0.0	0.0	0.9981362741417765	0.9999979553707268	0.999996703606244	0.9999946808447396	0.9999914069872805	0.9999860905107278	0.9999774121891865	0.9999631271162676	0.9999392916485854	0.9998986315211015	0.9998267047417144	0.9996915220278654	0.9994096183433772	0.9986992580349687	0.9960427492112863	0.9618129815289096	0.02716036101920726	0.003532509216549912	0.0013002873575360216	0.0008138965502730452	0.0014985679118471134	0.8877774269809846	0.99915729264977	0.9997843458353727	0.9999103721322263	0.9999550666854999	0.9999753072104188	0.9999857354153302	0.9999915197149929	0.9999948719873596	0.9999968670942935
31.6228	0.0316	0.0316	0.1	0.002592943797404667	0.006723357536499335	0.027364930175318655	0.006723357536499335	0.0	0.0	0.0	0.0	0.0	0.0	0.0009850801311022902	0.5423966236879195	0.16650739051767977	0.05789678299936347	0.02927652641145775	0.027364930175318655	0.13136008512174294	0.9272567386081223	0.9882433639546139	0.9958054690865907	0.9980364929857752	0.9989587382592329	0.999410367996342	0.9996535261730091	0.9997919439068825	0.9998734272531576	0.9999223870054844	0.999952177344344	0.9999704450914069	0.9999817010244114	0.9999886572081362	0.9999929640848091	0.9999956337164984	0.9999972896735289	0.9999983173075704	0.9999989551992403	0.9999993512303307	0.9999995971297743	0.9999997498210716	0.999999844638613	0.9999999035194892
0.0316	31.6228	31.6228	0.0	NaN	NaN	0.14600888412046317	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.9999999999352499	0.9999999998957342	0.9999999998320981	0.9999999997296352	0.9999999995646458	0.9999999992989578	0.9999999988711281	0.9999999981821786	0.9999999970727244	0.9999999952860664	0.9999999924086568	0.9999999877742014	0.9999999803087305	0.9999999682793578	0.9999999488901845	0.9999999176186231	0.9999998671334835	0.9999997855015016	0.9999996531716043	0.9999994377783692	0.9999990848581661	0.9999985003792704	0.999997515427205	0.9999958077085966	0.9999927041922638	0.9999865973651592	0.9999727747070961	0.9999317818541248	0.9996962700982192	0.14600888412046317
0.1778	0.1778	5.6234	0.13333333333333333	2.043359717856942	8.531678524172808	0.001853344517395633	8.531678524172808	0.0	0.0	0.0	0.0	0.0	0.0	0.9960338554158435	0.9999887267786054	0.9999818256005604	0.9999706784245489	0.9999526387582471	0.999923330276464	0.9998755201014423	0.9997968631841846	0.9996657339225893	0.9994423697304639	0.9990482223967505	0.9983106975242512	0.9967855775693703	0.9930128501018937	0.979662853057017	0.8654159263352853	0.11754969142322227	0.019024249804973734	0.006698883475650035	0.0031487379585289827	0.001853344517395633	0.9695446574751322	0.9998498230312444	0.9999616294565317	0.9999840579521334	0.9999920086558293	0.9999956086411772	0.9999974632585187	0.9999984919316431	0.9999990880817821	0.9999994428759836
177.8279	177.8279	0.0056	0.13333333333333333	1.2689610031679222	5.298316906283709	0.0050058414751319195	1.2689610031679222	0.0	0.0	0.0	0.0	0.0	0.0	1.009312119632872	0.9999999884520594	0.9999999813814907	0.9999999699587375	0.9999999514679903	0.9999999214392191	0.9999998724184216	0.9999997917176591	0.9999996570380401	0.9999994272192374	0.9999990204535121	0.9999982552150578	0.9999966564434353	0.9999926109977021	0.9999772861828604	0.9997521085885698	0.0050058414751319195	0.008837074021467587	0.017552891116485298	0.041324890989786055	0.13536508401367625	0.5550446736256192	0.8956395299320348	0.9655384222729465	0.984749672285748	0.9921717182583417	0.9956505020465727	0.9974729125580111	0.9984928211268158	0.9990869078378447	0.9994415336900312
5.6234	0.0056	177.8279	0.06666666666666667	0.006723357536499335	0.010826367338740546	0.03725295584269626	0.010826367338740546	0.0	0.0	0.0	0.0	0.0	0.0	0.0009766325313365482	0.6411481638561413	0.4132687756586645	0.22556805690827794	0.11928959865094847	0.06530335055303828	0.03725295584269626	0.9999838737910333	0.9999978526421912	0.9999992494638255	0.9999996506593158	0.9999998151586375	0.9999998954422628	0.9999999385954105	0.9999999631384571	0.9999999775790988	0.9999999862532664	0.9999999915302726	0.9999999947658295	0.9999999967593416	0.9999999979912744	0.9999999987540067	0.9999999992267745	0.999999999520033	0.9999999997020173	0.9999999998149776	0.9999999998851065	0.9999999999286575	0.9999999999556991	0.999999999972486	0.9999999999829099
0.0056	5.6234	0.1778	0.0	NaN	NaN	0.29455338784796065	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.9999999996373536	0.9999999994160444	0.9999999990596831	0.9999999984858351	0.9999999975617804	0.9999999960737946	0.9999999936777	0.9999999898192266	0.9999999836057217	0.9999999735994688	0.9999999574844709	0.9999999315291153	0.9999998897186548	0.9999998223525689	0.9999997137709475	0.9999995386253874	0.9999992558897457	0.9999987987281352	0.9999980576650173	0.9999968514920666	0.9999948753321114	0.9999916029610051	0.9999860895029166	0.9999765332982923	0.9999591757574445	0.9999250532109205	0.9998479526161352	0.9996201662636448	0.9983280480410514	0.29455338784796065
0.0133	0.075	421.6965	0.13333333333333333	13.73823795883263	57.36152510448679	0.0031290741284662896	57.36152510448679	0.0	0.0	0.0	0.0	0.0	0.0	5.601765708545997	0.9999954203197111	0.9999926240238064	0.9999881188782404	0.9999808582466473	0.999969150717781	0.9999502569334641	0.9999197247900828	0.9998702780289817	0.9997898381279537	0.9996583695214072	0.9994413976996485	0.9990778413074752	0.9984534450487509	0.997336773160217	0.995200765947418	0.9906185567826099	0.9785513252023642	0.9313116496983599	0.6007848662869523	0.10590436538496788	0.028333077694032746	0.011573919971693573	0.005726942157437146	0.0031290741284662896	0.9999883177984517	0.9999989036836973	0.9999996418628129	0.9999998376798691	0.9999999152291729	0.9999999523882525
13.3352	74.9894	0.4217	0.16666666666666666	8.531678524172808	57.36152510448679	0.00018300812220000808	13.73823795883263	0.0	0.0	0.0	0.0	0.0	0.0	5.625995113614932	0.999999995138683	0.9999999921702055	0.9999999873874607	0.9999999796787707	0.9999999672470714	0.9999999471801396	0.9999999147405894	0.9999998621743719	0.9999997766651143	0.9999996366984027	0.9999994052706352	0.999999016297905	0.9999983447990768	0.9999971331915624	0.9999947782067456	0.9999895646414559	0.9999747861392886	0.9999001280334519	0.966879526406758	0.00021599086515835636	0.00018300812220000808	0.00034483402217551926	0.000983619079130027	0.008215394234297041	0.9889996714900038	0.9989164246092177	0.9996441479642536	0.9998384289184012	0.9999155518533913	0.9999525493067365
421.6965	0.0024	13.3352	0.0	NaN	NaN	0.9999984781918996	0.001	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.9999984781918996	0.9999991104439242	0.9999994674723861	0.9999996766334223	0.9999998019394135	0.9999998780460553	0.9999999246634158	0.9999999533675564	0.9999999710991733	0.9999999820746879	0.9999999888767683	0.9999999930956471	0.9999999957135667	0.9999999973385512	0.9999999983473845	0.9999999989737729	0.999999999362724	0.9999999996042485	0.9999999997542454	0.9999999998473807	0.9999999999052132	0.9999999999411445	0.9999999999634489	0.999999999977297	0.9999999999859005	0.9999999999912447	0.9999999999945648	0.9999999999966191	0.9999999999979022	0.9999999999986996
