mA	mB	mU	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
2.3714	0.4217	0.0024	0.0	NaN	NaN	1.0000000012221677	1000.0	0.0	0.0	0.0	0.0	30.0	NaN	1.0000381645203047	1.0000697856432574	1.0001386537857417	1.000318531575305	1.000963798823247	1.0055097091056264	3.333264585864592	1.000377871467616	1.0001279992604053	1.0000505896954457	1.0000224082567182	1.0000108658904456	1.0000056623663323	1.000003118052882	1.0000017873802738	1.0000010536218367	1.0000006328324313	1.0000003847745247	1.000000235793815	1.0000001452175926	1.000000089715085	1.000000055534478	1.0000000344184514	1.0000000213476774	1.000000013246946	1.0000000082226075	1.0000000051048437	1.000000003169602	1.0000000019681479	1.0000000012221677
0.0024	421.6965	2.3714	0.0	NaN	NaN	1.0887075899326641	0.001	19.0	0.0	8.0	0.0	3.0	NaN	1.0887075899326641	1.1734298517827226	1.4496213063977825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.0037	0.6494	0.6494	0.0	NaN	NaN	1.0001219615263466	0.001	14.0	0.0	5.0	0.0	11.0	NaN	1.0001219615263466	1.0002806267160609	1.0008705508750606	1.0036677781098955	1.0090504485129532	1.0157961394913775	1.0265270799372863	1.0450951127536672	1.0795249318977516	1.151896175266296	1.3614378731722052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6517	649.3816	649.3816	0.26666666666666666	5.298316906283709	148.73521072935117	-0.7687407108328282	148.73521072935117	2.0	0.0	3.0	8.0	17.0	0.9239480030474266	1.000000000079348	1.0000000001278098	1.0000000002059137	1.0000000003318554	1.0000000005350647	1.0000000008634091	1.0000000013950412	1.0000000022586846	1.000000003669316	1.0000000059936693	1.0000000098783393	1.000000016522881	1.0000000283293495	1.000000050687217	1.0000000979404748	1.000000220173872	NaN	1.00001025716429	-0.007731078862988289	-0.01258681263875074	-0.020724651647803276	-0.03469618095802351	-0.05977572077116142	-0.1088213799858089	-0.22489088955770892	-0.7687407108328282	NaN	NaN	NaN	NaN
115.4782	0.0205	0.0205	0.0	NaN	NaN	1.0000000001295262	0.001	2.0	0.0	3.0	0.0	25.0	NaN	1.0000000001295262	1.0000000002085534	1.0000000003358387	1.0000000005408163	1.0000000008709424	1.0000000014026131	1.0000000022590354	1.0000000036388415	1.0000000058625915	1.0000000094483728	1.0000000152352613	1.0000000245871132	1.000000039733084	1.0000000643492326	1.0000001045828149	1.0000001709389394	1.0000002819713387	1.0000004720922564	1.0000008097792552	1.0000014453577029	1.0000027565071288	1.0000058894140849	1.0000154670437857	1.000062248121719	1.000884973596173	NaN	NaN	NaN	NaN	NaN
0.1155	20.5353	20.5353	0.26666666666666666	0.18873918221350972	5.298316906283709	-1.8204321923845772	5.298316906283709	6.0	0.0	5.0	8.0	11.0	0.9082617842214973	1.0000000804421385	1.000000130824429	1.000000214076249	1.0000003538573057	1.0000005947555268	1.0000010281739027	1.0000018664383128	1.0000037053568962	1.0000088186686662	1.000033191891958	1.001273155445825	-0.009844696813623327	-0.01493274544922562	-0.02395649951904839	-0.03987840322887921	-0.06912325791201816	-0.12838710280445131	-0.28141648318501206	-1.8204321923845772	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.6494	0.0037	115.4782	0.0	NaN	NaN	1.0000000000000824	0.001	0.0	0.0	0.0	0.0	30.0	NaN	1.0000000000000824	1.0000000000001257	1.0000000000001994	1.0000000000003382	1.0000000000005373	1.0000000000008755	1.0000000000014002	1.0000000000022538	1.0000000000036322	1.0000000000058427	1.0000000000094185	1.0000000000151656	1.0000000000244151	1.0000000000393163	1.0000000000633111	1.0000000001019513	1.0000000001641873	1.000000000264405	1.0000000004258403	1.00000000068592	1.0000000011050463	1.0000000017807762	1.0000000028710903	1.000000004632479	1.0000000074836317	1.0000000121135795	1.0000000196709806	1.0000000321102476	1.000000052864044	1.0000000882622286
649.3816	3.6517	0.1155	0.0	NaN	NaN	1.0000000001387495	0.001	6.0	0.0	2.0	0.0	22.0	NaN	1.0000000001387495	1.000000000223446	1.0000000003598681	1.0000000005796428	1.0000000009337981	1.0000000015047725	1.0000000024259754	1.0000000039139307	1.0000000063219403	1.0000000102307045	1.0000000166065983	1.000000027088601	1.0000000445384407	1.0000000741753436	1.0000001261393707	1.0000002219646256	1.0000004133449256	1.000000847336044	1.0000020601855133	1.0000070034642385	1.000055517610966	1.0005708806793703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.5353	0.1155	3.6517	0.0	NaN	NaN	1.0000000000507763	0.001	1.0	0.0	0.0	0.0	29.0	NaN	1.0000000000507763	1.0000000000817708	1.0000000001316673	1.0000000002120208	1.0000000003414127	1.000000000549771	1.0000000008852976	1.0000000014256194	1.000000002295773	1.0000000036971857	1.0000000059544873	1.0000000095909622	1.0000000154509054	1.0000000248980299	1.0000000401391338	1.0000000647560323	1.000000104590231	1.0000001692410567	1.000000274673952	1.0000004479456812	1.0000007362545313	1.0000012256001836	1.0000020830307226	1.0000036640942813	1.0000068296750193	1.000014088673327	1.0000352079318726	1.0001363714913953	1.0043293261930897	NaN
0.0205	115.4782	0.0037	0.0	NaN	NaN	1.000000000006883	1000.0	0.0	0.0	0.0	0.0	30.0	NaN	1.0000069058185372	1.0000042824950148	1.0000026571360194	1.0000016492140815	1.0000010238380241	1.0000006356850573	1.000000394718862	1.0000002451069228	1.0000001522077644	1.0000000945206062	1.0000000586977345	1.0000000364518349	1.000000022637044	1.0000000140579188	1.0000000087301797	1.0000000054215725	1.0000000033668903	1.000000002090895	1.0000000012984818	1.0000000008063743	1.0000000005007716	1.0000000003109815	1.000000000193132	1.0000000001199343	1.0000000000744804	1.000000000046247	1.0000000000287232	1.00000000001784	1.0000000000110785	1.000000000006883
